,Symbol,Name,Current Price,Current IV,SMA200,SMA50,Price Percentile 13W,Price Percentile 52W,Price Rank 13W,Price Rank 52W,Price Change 13W,Price Change 52W,IV Percentile 13W,IV Percentile 52W,IV Rank 13W,IV Rank 52W,Market Cap
30,DLTR,Dollar Tree Inc. Common Stock,$113.32,45.00,$83.24,$108.37,66.00%,92.00%,85.21,91.77,25.00%,17.00%,79.00%,50.00%,65.61,28.44,"$23,649.41M"
31,DOOO,BRP Inc. (Recreational Products) Common Subordinate Voting Shares,$58.39,45.00,$45.27,$51.00,98.00%,87.00%,96.36,64.81,60.00%,-19.00%,66.00%,64.00%,26.43,19.41,"$4,270.18M"
32,ECG,Everus Construction Group Inc. Common Stock,$76.11,46.00,$58.21,$68.62,95.00%,98.00%,59.03,76.31,28.00%,55.00%,9.00%,9.00%,7.64,7.64,"$3,882.11M"
33,ELF,e.l.f. Beauty Inc. Common Stock,$118.15,50.00,$100.20,$118.49,53.00%,65.00%,70.03,60.87,29.00%,-24.00%,29.00%,7.00%,14.19,10.15,"$6,703.23M"
34,ETOR,eToro Group Ltd. Class A Common Shares,$46.61,51.00,$21.05,$58.10,5.00%,4.00%,8.53,8.53,-28.00%,-30.00%,3.00%,3.00%,16.76,16.76,"$3,769.52M"
35,ETSY,Etsy Inc. Common Stock,$62.66,42.00,$53.19,$58.57,74.00%,94.00%,65.06,74.08,24.00%,14.00%,35.00%,47.00%,22.69,17.63,"$6,210.14M"
36,FIG,Figma Inc. Class A Common Stock,$77.30,88.00,$7.15,$28.58,29.00%,29.00%,13.57,13.57,-33.00%,-33.00%,7.00%,7.00%,5.95,5.95,"$37,680.73M"
37,FIVE,Five Below Inc. Common Stock,$141.81,56.00,$102.00,$133.65,95.00%,99.00%,91.92,96.89,22.00%,69.00%,81.00%,52.00%,66.03,24.69,"$7,807.78M"
38,FLY,Firefly Aerospace Inc. Common Stock,$46.11,82.00,$2.97,$11.90,17.00%,17.00%,7.08,7.08,-24.00%,-24.00%,10.00%,10.00%,34.05,34.05,"$6,480.83M"
39,FN,Fabrinet Ordinary Shares,$294.35,43.00,$240.67,$300.56,50.00%,88.00%,52.84,70.10,25.00%,17.00%,0.00%,5.00%,8.91,9.34,"$10,517.00M"
40,FND,Floor & Decor Holdings Inc. Common Stock,$88.02,44.00,$88.02,$79.72,98.00%,46.00%,96.50,37.51,20.00%,-21.00%,23.00%,39.00%,15.58,18.23,"$9,479.00M"
41,FRHC,Freedom Holding Corp. Common Stock,$174.05,41.00,$143.97,$162.60,73.00%,92.00%,64.99,81.15,11.00%,92.00%,15.00%,64.00%,31.14,24.37,"$10,655.63M"
42,FSLR,First Solar Inc. Common Stock,$202.28,48.00,$165.58,$175.44,94.00%,81.00%,77.65,58.65,30.00%,-13.00%,2.00%,12.00%,3.99,11.06,"$21,694.05M"
43,FTAI,FTAI Aviation Ltd. Common Stock,$147.71,44.00,$124.30,$126.16,98.00%,86.00%,88.48,68.16,23.00%,21.00%,6.00%,14.00%,3.12,9.53,"$15,150.70M"
44,FUL,H. B. Fuller Company Common Stock,$62.21,40.00,$60.93,$58.92,87.00%,54.00%,76.22,38.22,11.00%,-25.00%,76.00%,88.00%,32.15,31.84,"$3,357.09M"
45,FUTU,Futu Holdings Limited American Depositary Shares,$190.64,52.00,$109.62,$146.76,98.00%,100.00%,96.08,97.34,78.00%,212.00%,24.00%,16.00%,34.76,31.01,"$26,542.33M"
46,GEV,GE Vernova Inc. Common Stock,$607.07,43.00,$414.59,$575.68,68.00%,92.00%,67.88,85.90,29.00%,233.00%,29.00%,12.00%,21.36,6.94,"$165,258.99M"
47,GH,Guardant Health Inc. Common Stock,$61.40,53.00,$42.78,$50.22,98.00%,100.00%,94.38,96.70,57.00%,130.00%,8.00%,7.00%,17.03,11.59,"$7,656.94M"
48,GWRE,Guidewire Software Inc. Common Stock,$213.99,46.00,$204.37,$226.21,18.00%,74.00%,14.52,59.08,2.00%,45.00%,89.00%,89.00%,82.82,63.65,"$18,016.94M"
49,HCC,Warrior Met Coal Inc. Common Stock,$59.31,42.00,$53.05,$52.38,85.00%,72.00%,80.06,57.36,23.00%,2.00%,0.00%,2.00%,9.88,1.17,"$3,117.89M"
50,HIMS,Hims & Hers Health Inc. Class A Common Stock,$44.57,70.00,$40.43,$51.78,10.00%,68.00%,12.49,52.26,-16.00%,178.00%,5.00%,12.00%,10.44,13.13,"$10,073.69M"
51,HNGE,Hinge Health Inc. Class A Common Stock,$57.57,66.00,$14.74,$48.00,90.00%,91.00%,83.97,83.97,37.00%,53.00%,5.00%,5.00%,10.48,10.48,"$4,515.52M"
52,HOOD,Robinhood Markets Inc. Class A Common Stock,$109.32,62.00,$59.66,$98.37,85.00%,96.00%,84.70,91.53,66.00%,422.00%,39.00%,33.00%,15.41,18.62,"$96,471.51M"
53,IESC,IES Holdings Inc. Common Stock,$341.11,54.00,$248.81,$315.41,84.00%,96.00%,76.08,87.06,32.00%,83.00%,19.00%,9.00%,23.21,8.80,"$6,772.56M"
54,INSM,Insmed Incorporated Common Stock,$131.88,40.00,$81.80,$107.42,97.00%,99.00%,97.53,97.70,94.00%,75.00%,8.00%,6.00%,7.21,9.69,"$27,876.11M"
55,IONS,Ionis Pharmaceuticals Inc. Common Stock,$42.69,56.00,$35.32,$41.20,74.00%,89.00%,78.26,70.77,28.00%,-9.00%,77.00%,84.00%,66.12,40.92,"$6,804.41M"
56,IRON,Disc Medicine Inc. Common Stock,$60.35,54.00,$55.03,$56.90,87.00%,80.00%,78.00,77.90,32.00%,21.00%,31.00%,25.00%,35.28,10.42,"$2,098.10M"
57,JOYY,JOYY Inc. American Depositary Shares,$51.84,41.00,$44.66,$51.28,77.00%,94.00%,74.15,84.45,12.00%,54.00%,92.00%,46.00%,58.84,25.91,"$2,681.27M"
58,KEN,Kenon Holdings Ltd. Ordinary Shares,$45.19,48.00,$34.61,$43.56,74.00%,94.00%,69.96,81.31,32.00%,81.00%,98.00%,47.00%,33.51,17.50,"$2,356.67M"
59,KFY,Korn Ferry Common Stock,$76.46,44.00,$69.48,$72.44,98.00%,93.00%,86.93,80.49,11.00%,6.00%,85.00%,88.00%,28.01,28.01,"$3,969.88M"
60,KRMN,Karman Holdings Inc. Common Stock,$52.24,53.00,$27.11,$49.44,92.00%,96.00%,66.58,84.27,15.00%,74.00%,14.00%,14.00%,25.77,25.77,"$6,912.52M"
61,KTOS,Kratos Defense & Security Solutions Inc. Common Stock,$66.71,54.00,$36.54,$54.08,90.00%,98.00%,83.73,88.45,75.00%,195.00%,40.00%,68.00%,36.58,41.94,"$11,260.28M"
62,KYMR,Kymera Therapeutics Inc. Common Stock,$44.10,57.00,$38.83,$44.23,44.00%,59.00%,72.22,72.89,57.00%,-11.00%,10.00%,6.00%,4.80,4.80,"$3,153.04M"
63,LEN,Lennar Corporation Class A Common Stock,$135.75,40.00,$124.43,$116.15,98.00%,65.00%,96.60,42.52,26.00%,-23.00%,71.00%,76.00%,59.59,39.78,"$35,160.18M"
64,LIF,Life360 Inc. Common Stock,$90.22,41.00,$52.09,$72.05,98.00%,100.00%,96.76,98.33,44.00%,132.00%,11.00%,12.00%,10.47,4.93,"$6,996.44M"
65,LITE,Lumentum Holdings Inc. Common Stock,$119.34,50.00,$82.15,$101.84,95.00%,99.00%,81.95,87.38,52.00%,112.00%,26.00%,32.00%,19.79,13.47,"$8,341.87M"
66,LMND,Lemonade Inc. Common Stock,$56.82,70.00,$37.31,$44.64,90.00%,98.00%,87.79,92.05,72.00%,206.00%,15.00%,22.00%,26.73,26.12,"$4,198.23M"
67,LSCC,Lattice Semiconductor Corporation Common Stock,$64.16,44.00,$54.58,$54.32,97.00%,96.00%,90.81,82.19,34.00%,37.00%,2.00%,3.00%,2.69,5.28,"$8,783.22M"
68,LTM,LATAM Airlines Group S.A. American Depositary Shares (each representing two thousand (2000) shares of Common Stock),$48.04,41.00,$33.58,$41.87,98.00%,100.00%,99.39,99.71,26.00%,84.00%,26.00%,26.00%,25.29,25.29,"$14,518.60M"
69,MCHP,Microchip Technology Incorporated Common Stock,$69.14,40.00,$59.77,$69.45,55.00%,66.00%,60.84,72.16,18.00%,-14.00%,8.00%,18.00%,19.65,13.30,"$37,313.45M"
70,MDGL,Madrigal Pharmaceuticals Inc. Common Stock,$414.68,45.00,$317.74,$321.29,98.00%,100.00%,96.57,97.58,53.00%,62.00%,16.00%,10.00%,23.98,13.01,"$9,242.81M"
71,MGRC,McGrath RentCorp Common Stock,$124.02,48.00,$116.26,$118.47,90.00%,94.00%,75.41,82.83,7.00%,14.00%,10.00%,20.00%,20.77,13.65,"$3,052.32M"
72,MIRM,Mirum Pharmaceuticals Inc. Common Stock,$71.52,50.00,$47.22,$54.78,98.00%,100.00%,98.05,98.41,63.00%,66.00%,52.00%,24.00%,25.28,18.44,"$3,593.00M"
73,MKSI,MKS Inc. Common Stock,$105.25,41.00,$96.76,$99.65,94.00%,60.00%,90.49,71.51,20.00%,-11.00%,3.00%,14.00%,12.36,9.13,"$7,068.49M"
74,MLTX,MoonLake Immunotherapeutics Class A Ordinary Shares,$55.89,140.00,$45.96,$50.53,98.00%,99.00%,92.07,91.17,45.00%,16.00%,97.00%,99.00%,67.09,67.93,"$3,589.86M"
75,MOD,Modine Manufacturing Company Common Stock,$140.37,44.00,$104.93,$111.73,94.00%,97.00%,91.62,92.11,52.00%,21.00%,3.00%,1.00%,8.22,4.11,"$7,368.05M"
76,MP,MP Materials Corp. Common Stock,$67.88,68.00,$29.90,$53.25,79.00%,95.00%,77.11,79.17,262.00%,426.00%,3.00%,65.00%,27.68,37.32,"$12,021.43M"
77,MRUS,Merus N.V. Common Shares,$67.49,47.00,$48.59,$59.98,98.00%,100.00%,97.25,98.53,33.00%,27.00%,16.00%,14.00%,24.44,11.03,"$5,104.56M"
78,MSTR,Strategy Inc Common Stock Class A,$358.13,52.00,$355.15,$393.83,5.00%,56.00%,24.74,56.94,-4.00%,144.00%,42.00%,10.00%,30.07,4.40,"$101,548.82M"
79,MU,Micron Technology Inc. Common Stock,$117.68,45.00,$99.92,$118.25,53.00%,88.00%,67.66,82.18,22.00%,19.00%,61.00%,36.00%,34.04,16.67,"$131,698.64M"
80,NBIS,Nebius Group N.V. Class A Ordinary Shares,$68.98,72.00,$36.44,$55.27,90.00%,98.00%,83.05,88.70,73.00%,264.00%,0.00%,0.00%,3.90,1.90,"$16,424.75M"
81,NET,Cloudflare Inc. Class A Common Stock,$196.17,44.00,$142.81,$193.20,68.00%,92.00%,61.78,84.16,21.00%,140.00%,39.00%,39.00%,21.58,27.76,"$68,361.63M"
82,NTAP,NetApp Inc. Common Stock,$110.52,41.00,$107.11,$105.69,98.00%,49.00%,97.97,60.81,10.00%,-17.00%,73.00%,70.00%,73.93,43.92,"$22,144.47M"
83,NVDA,NVIDIA Corporation Common Stock,$177.99,43.00,$137.86,$167.00,79.00%,95.00%,87.41,93.37,31.00%,41.00%,81.00%,32.00%,62.34,20.69,"$4,342,956.00M"
84,NVMI,Nova Ltd. Ordinary Shares,$252.80,41.00,$221.63,$263.65,37.00%,80.00%,62.63,71.60,28.00%,16.00%,3.00%,6.00%,10.37,12.92,"$7,401.73M"
85,NXT,Nextracker Inc. Class A Common Stock,$68.77,47.00,$48.05,$60.35,98.00%,100.00%,92.57,96.51,23.00%,63.00%,23.00%,9.00%,38.05,11.69,"$10,175.48M"
