,Symbol,Name,Current Price,Current IV,SMA200,SMA50,Price Percentile 13W,Price Percentile 52W,Price Rank 13W,Price Rank 52W,Price Change 13W,Price Change 52W,IV Percentile 13W,IV Percentile 52W,IV Rank 13W,IV Rank 52W,Market Cap
134,TTAN,ServiceTitan Inc. Class A Common Stock,$104.82,45.00,$91.43,$108.79,27.00%,53.00%,27.16,48.55,-15.00%,4.00%,53.00%,24.00%,21.06,20.92,"$9,504.12M"
135,TTMI,TTM Technologies Inc. Common Stock,$44.43,51.00,$29.15,$42.70,71.00%,93.00%,69.85,81.01,49.00%,120.00%,65.00%,75.00%,38.60,31.34,"$4,590.21M"
136,UAL,United Airlines Holdings Inc. Common Stock,$102.98,43.00,$87.27,$87.35,98.00%,89.00%,98.22,82.65,32.00%,141.00%,31.00%,29.00%,20.72,8.60,"$33,337.93M"
137,UMBF,UMB Financial Corporation Common Stock,$121.59,54.00,$109.30,$109.03,98.00%,89.00%,98.69,82.58,15.00%,18.00%,98.00%,97.00%,97.03,46.20,"$9,232.12M"
138,UPST,Upstart Holdings Inc. Common stock,$68.85,56.00,$62.12,$70.45,58.00%,76.00%,56.10,57.59,44.00%,60.00%,2.00%,1.00%,11.90,17.75,"$6,624.59M"
139,URBN,Urban Outfitters Inc. Common Stock,$76.98,59.00,$58.59,$73.61,81.00%,95.00%,75.86,92.04,2.00%,106.00%,77.00%,86.00%,81.33,50.38,"$6,900.65M"
140,VAL,Valaris Limited Common Shares,$49.17,43.00,$42.73,$46.70,85.00%,73.00%,82.82,57.15,28.00%,-22.00%,0.00%,7.00%,5.21,15.24,"$3,501.57M"
141,VCTR,Victory Capital Holdings Inc. Class A Common Stock,$71.78,42.00,$63.87,$67.10,97.00%,98.00%,90.76,93.79,14.00%,32.00%,71.00%,59.00%,26.09,17.74,"$4,793.71M"
142,VEEV,Veeva Systems Inc. Class A Common Stock,$290.86,40.00,$244.12,$282.62,95.00%,99.00%,90.71,94.12,22.00%,46.00%,89.00%,87.00%,78.70,63.13,"$47,530.09M"
143,VEON,VEON Ltd. ADS,$58.70,51.00,$44.57,$50.15,94.00%,98.00%,82.00,86.08,8.00%,116.00%,39.00%,53.00%,27.03,26.20,"$4,341.90M"
144,VICR,Vicor Corporation Common Stock,$50.95,45.00,$49.44,$46.44,97.00%,72.00%,43.77,53.07,20.00%,32.00%,5.00%,4.00%,15.39,9.81,"$2,288.64M"
145,VRT,Vertiv Holdings LLC Class A Common Stock,$125.97,47.00,$112.15,$129.38,48.00%,76.00%,43.57,70.78,15.00%,61.00%,11.00%,8.00%,10.45,4.53,"$48,103.74M"
146,VST,Vistra Corp. Common Stock,$190.46,48.00,$157.22,$193.73,48.00%,86.00%,55.85,81.67,16.00%,124.00%,5.00%,4.00%,8.27,9.78,"$64,531.72M"
147,W,Wayfair Inc. Class A Common Stock,$77.84,52.00,$45.67,$62.01,89.00%,97.00%,90.91,93.34,90.00%,75.00%,18.00%,4.00%,21.89,7.00,"$10,092.81M"
148,WFRD,Weatherford International plc Ordinary Shares,$60.83,49.00,$59.95,$54.69,98.00%,48.00%,97.10,32.35,33.00%,-44.00%,32.00%,51.00%,25.08,12.85,"$4,369.36M"
149,WGS,GeneDx Holdings Corp. Class A Common Stock,$128.66,59.00,$84.26,$93.35,98.00%,100.00%,97.58,98.36,84.00%,262.00%,18.00%,6.00%,8.98,11.02,"$3,696.06M"
150,WING,Wingstop Inc. Common Stock,$332.19,41.00,$295.96,$334.37,40.00%,61.00%,47.49,55.77,-2.00%,-18.00%,40.00%,44.00%,21.25,18.81,"$9,275.99M"
151,WSM,Williams-Sonoma Inc. Common Stock (DE),$203.42,51.00,$175.76,$179.95,92.00%,89.00%,87.72,82.50,22.00%,51.00%,95.00%,71.00%,88.71,41.89,"$25,020.27M"
152,XMTR,Xometry Inc. Class A Common Stock,$49.26,54.00,$32.46,$36.58,98.00%,100.00%,98.79,99.28,40.00%,141.00%,0.00%,0.00%,10.16,10.28,"$2,501.97M"
153,ZS,Zscaler Inc. Common Stock,$272.51,53.00,$231.41,$292.03,13.00%,78.00%,34.09,72.15,6.00%,38.00%,81.00%,76.00%,90.68,48.27,"$42,429.41M"
